id	lon	lat	b_code
6277	68	29.9055	59.3144	6
6374	69	29.9935	59.4614	6
6467	70	30.1416	59.3114	4
6575	71	30.4452	59.3723	6
6675	72	30.4885	59.301	6
6775	73	30.6904	59.5463	6
6888	74	30.8712	59.4239	6
6960	75	30.6113	59.5092	6
7065	76	29.8821	59.1578	6
7155	77	29.9559	59.0977	6
7252	78	29.9946	58.9274	6
7348	79	30.1072	59.0807	6
7443	80	30.3672	59.2054	6
7540	81	30.5539	59.1536	6
7633	82	30.5011	59.0543	6
7748	83	30.6703	58.9161	6
7846	84	31.035	58.8768	6
7936	85	30.5126	58.8167	6
8030	86	30.1339	58.8128	4
8125	87	30.2017	58.6135	6
8209	88	30.3808	58.7217	6
8309	89	30.5718	58.6459	4
8400	90	30.7226	58.6621	4
8481	91	30.8526	58.5866	6
8601	92	30.6208	58.5558	6
8726	93	30.4587	58.6143	6
8818	94	30.5467	58.4737	4
8939	95	30.7258	58.3685	4
9036	96	30.7075	58.2607	4
9148	97	30.7448	58.1641	4
9268	98	30.6097	58.0777	4
9361	99	31.0358	58.1419	4
9447	100	31.069	57.9362	4
9533	101	31.1245	57.8509	6
9628	102	30.8517	57.9042	4
9721	103	30.0505	57.8752	4
9840	104	30.0981	57.6311	4
9954	105	30.2228	57.4517	6
10063	106	30.8876	57.7401	6
10184	107	30.9245	57.6427	6
10305	108	31.1704	57.4451	6
10407	109	31.1332	57.1441	4
10506	110	31.0656	57.3157	4
10609	111	30.3925	56.8816	4
10713	112	30.546	56.7561	4
10811	113	30.7345	56.6909	4
10908	114	31.3935	56.7436	4
11001	115	30.6941	56.5004	4
11111	116	30.6617	56.4057	4
11216	117	30.9444	56.1985	4
11328	118	30.7457	56.2208	4
11446	119	30.6915	56.1194	4
11514	120	30.9771	56.0504	4
11584	121	30.7856	55.9366	4
11662	122	30.8529	55.8319	4
11751	123	31.077	55.8379	4
11831	124	31.1767	55.9397	4
11907	125	31.1323	55.6232	4
12045	126	31.3045	55.6611	4
12174	127	31.1143	55.4893	4
12290	128	31.2453	55.4388	4
12400	129	31.4206	55.4399	4
12483	130	31.1451	55.4011	4
12580	131	31.2187	55.27	4
12663	132	31.5634	55.1638	4
12751	133	31.3688	55.1159	4
12860	134	31.2274	55.0512	4
12945	135	31.4912	55.0615	4
13039	136	31.4229	54.9615	4
13139	137	31.6976	54.9715	4
13234	138	31.4966	54.6119	4
13328	139	31.7172	54.7136	4
13407	140	31.5399	54.8361	4
13492	141	31.7026	54.5335	4
13569	142	31.5872	54.4208	4
13645	143	31.9289	54.4137	4
13730	144	31.9711	54.2815	4
13815	145	31.7278	54.3298	4
13896	146	31.8032	54.1266	4
13992	147	31.9606	53.9749	4
14097	148	32.0867	54.0908	4
14195	149	32.0912	53.8784	4
14276	150	31.9157	53.8146	4
14357	151	33.253	53.3211	4
14463	152	33.4427	53.1685	4
14555	153	33.4384	52.9992	4
14644	154	33.1837	53.1727	4
14742	155	32.4865	53.0393	4
14840	156	32.3997	52.8995	4
14941	157	32.1716	53.0585	4
15042	158	32.5054	52.438	4
15127	159	32.5421	52.6025	4
15210	160	32.4179	52.6674	4
15310	161	32.6811	52.3287	4
15406	162	32.8818	52.2943	4
15509	163	32.8004	52.6231	4
15608	164	33.3824	52.5524	4
15695	165	33.4839	52.4494	4
15792	166	33.6263	52.5423	4
15863	167	33.595	52.6637	4
15945	168	32.6559	52.7495	4
16028	169	33.5749	52.7927	4
16120	170	33.3656	52.856	4
16213	171	33.304	53.4866	4
16296	172	32.28	53.8023	4
16380	173	33.0159	53.5291	4
16474	174	33.3243	53.6386	4
16582	175	33.0399	53.6714	4
16664	176	32.8936	53.7748	4
16758	177	33.4467	53.7933	4
16851	178	33.2405	53.9024	4
16953	179	32.8523	54.1204	4
17063	180	33.0623	54.206	4
17153	181	33.0792	54.0112	4
17243	182	33.397	53.9807	4
17349	183	33.3418	54.1332	4
17462	184	32.5966	54.3477	4
17566	185	32.8045	54.2991	4
17675	186	33.2986	54.4258	4
17752	187	33.1733	54.507	4
17835	188	32.953	54.4439	4
17916	189	32.6849	54.4608	4
18020	190	32.5618	54.5574	4
18115	191	32.8344	54.6011	4
18211	192	32.4944	54.6959	4
18317	193	32.5742	54.761	4
18409	194	32.8391	54.7693	4
18499	195	33.0729	54.7205	4
18598	196	33.1097	54.7931	4
18678	197	32.8906	54.9124	4
18764	198	32.6091	54.9122	4
18851	199	32.3476	54.9094	4
18965	200	32.5337	55.0311	4
19047	201	32.246	55.0669	4
19145	202	32.9065	55.0769	4
19250	203	32.9695	55.1541	4
19343	204	32.9805	55.3043	4
19437	205	32.7706	55.345	4
19515	206	32.5004	55.2174	4
19615	207	32.2085	55.264	4
19701	208	32.5051	55.3838	4
19793	209	32.0721	55.3872	4
19892	210	32.6631	55.445	4
19990	211	32.9515	55.4429	4
20075	212	32.1748	55.5296	4
20174	213	32.518	55.554	4
20264	214	32.0509	55.7158	4
20367	215	32.3322	55.6534	4
20456	216	32.2151	55.8191	4
20541	217	32.5332	55.899	4
20632	218	32.47	55.7013	4
20723	219	32.5727	55.7419	4
20804	220	32.7191	55.642	4
20897	221	31.7574	56.1596	4
20999	222	31.9665	56.2085	4
21112	223	31.8589	56.0369	4
21206	224	32.0462	56.0515	4
21310	225	32.32	55.9797	4
21391	226	32.6498	56.0572	4
21468	227	32.2275	56.1653	4
21573	228	32.4233	56.2291	4
21669	229	32.648	56.3025	4
21768	230	31.5876	56.6258	4
21870	231	31.6122	56.4505	4
21979	232	31.7639	56.3206	4
22081	233	32.0202	56.3865	4
22187	234	31.8713	56.5506	4
22283	235	32.2806	56.4832	4
