map_ID,no_np,dir,lon,lat
2426,71,vostok,40.606,56.6329
116,71,zapad,30.6617,56.4057
874,72,sever,34.6349,60.5539
314,72,severo-zapad,31.9573,59.2184
4087,72,vostok,40.9331,56.5772
3832,72,zapad,30.1416,56.3164
1084,73,jug,36.0613,53.5417
873,73,sever,34.3142,60.4789
306,73,severo-zapad,31.5318,59.0317
2147,73,vostok,40.189,56.5125
3830,73,zapad,30.1775,56.1585
1083,74,jug,36.4763,53.5019
2256,744,jug,39.8057,51.7091
867,74,sever,34.2488,60.3256
3739,74,severo-zapad,27.2151,58.6688
2424,74,vostok,40.6108,56.5302
36,74,zapad,30.5761,56.2052
1255,75,jug,36.7873,53.562
868,75,sever,34.2225,60.2013
3740,75,severo-zapad,27.2882,58.5115
2149,75,vostok,40.3519,56.4611
118,75,zapad,30.7457,56.2208
1087,76,jug,36.0215,53.3338
870,76,sever,34.5984,60.1545
3741,76,severo-zapad,27.3092,58.455
4086,76,vostok,40.5249,56.4244
117,76,zapad,30.9444,56.1985
1091,77,jug,36.2044,53.4325
869,77,sever,34.2937,60.1019
3728,77,severo-zapad,27.961,58.821
4089,77,vostok,40.8945,56.4732
3822,77,zapad,30.088,56.0195
1090,78,jug,36.3381,53.3668
871,78,sever,34.6647,60.0601
3733,78,severo-zapad,27.8576,58.6981
2150,78,vostok,40.3505,56.326
3824,78,zapad,30.4361,56.0522
1241,79,jug,36.5937,53.3686
1,79,sever,35.422,60.9569
3742,79,severo-zapad,27.9475,58.5301
4090,79,vostok,40.6777,56.3533
119,79,zapad,30.6915,56.1194
1242,80,jug,36.7979,53.4385
891,80,sever,35.2346,60.9149
3748,80,severo-zapad,27.8467,58.4061
4088,80,vostok,40.9725,56.3591
120,80,zapad,30.9771,56.0504
1089,81,jug,36.104,53.2386
895,81,sever,35.9839,60.8404
3747,81,severo-zapad,27.7387,58.3351
1822,817,vostok,38.8073,53.7456
4065,81,vostok,40.052,56.222
1092,82,jug,36.3698,53.2783
893,82,sever,35.7093,60.8038
3749,82,severo-zapad,28.0145,58.2359
4064,82,vostok,40.2121,56.2265
3913,82,zapad,31.0517,56.9593
1240,83,jug,36.7577,53.2875
892,83,sever,35.4195,60.7887
3746,83,severo-zapad,27.6093,58.0818
2422,83,vostok,40.4262,56.2048
242,83,zapad,31.3722,56.9657
1239,84,jug,36.9749,53.2582
896,84,sever,35.9867,60.6977
3716,84,severo-zapad,27.7681,57.9875
2421,84,vostok,40.6414,56.2537
3694,84,zapad,31.6678,56.977
1093,85,jug,36.3641,53.1667
897,85,sever,35.8229,60.0862
3727,85,severo-zapad,28.1251,58.9241
2420,85,vostok,40.9407,56.2628
245,85,zapad,31.944,56.9633
1095,86,jug,36.5671,53.2
4048,86,sever,36.5434,60.9726
3726,86,severo-zapad,28.6056,58.9178
4066,86,vostok,40.2759,56.1244
3914,86,zapad,31.2023,56.8186
1238,87,jug,36.8197,53.1548
4049,87,sever,36.8229,60.9439
34,87,severo-zapad,28.8174,58.8827
2415,87,vostok,40.5976,56.1492
246,87,zapad,31.5289,56.8689
1094,88,jug,36.0911,53.0578
4047,88,sever,36.5104,60.8417
3729,88,severo-zapad,28.2278,58.8226
2416,88,vostok,40.8916,56.1444
247,88,zapad,31.7704,56.8309
1097,89,jug,36.3127,53.0369
4046,89,sever,36.6717,60.8063
3735,89,severo-zapad,28.5659,58.8114
4067,89,vostok,40.3442,56.0239
114,89,zapad,31.3935,56.7436
1098,90,jug,36.4694,53.0493
1447,90,sever,36.3333,60.7018
35,90,severo-zapad,28.861,58.8374
4084,90,vostok,40.4759,56.0456
3916,90,zapad,31.1473,56.6269
1225,91,jug,36.8864,53.0763
1446,91,sever,36.7365,60.6443
3734,91,severo-zapad,28.2006,58.7497
4085,91,vostok,40.6875,56.074
230,91,zapad,31.5876,56.6258
4045,92,sever,36.4322,60.593
3744,92,severo-zapad,28.3572,58.6647
2414,92,vostok,40.9086,56.0157
248,92,zapad,31.9123,56.7081
1445,93,sever,36.8992,60.5844
3883,93,severo-zapad,28.8285,58.6688
4097,93,vostok,41.1876,56.8734
3921,93,zapad,31.3836,56.5232
1443,94,sever,36.4253,60.5249
3743,94,severo-zapad,28.1405,58.5477
2598,94,vostok,41.5612,56.8492
234,94,zapad,31.8713,56.5506
1256,95,jug,37.1727,53.5571
1442,95,sever,36.0625,60.5035
3745,95,severo-zapad,28.4369,58.5698
2597,95,vostok,41.8372,56.8603
3920,95,zapad,31.2415,56.4117
1671,96,jug,37.7052,53.5438
1444,96,sever,36.676,60.4672
3881,96,severo-zapad,28.8854,58.4764
4096,96,vostok,41.3912,56.7738
231,96,zapad,31.6122,56.4505
1243,97,jug,37.143,53.4477
1441,97,sever,36.8948,60.4174
3751,97,severo-zapad,28.4307,58.4032
2600,97,vostok,41.6871,56.763
3919,97,zapad,31.05,56.3238
1248,98,jug,37.4592,53.465
1439,98,sever,36.6962,60.3368
3880,98,severo-zapad,28.7065,58.4067
2601,98,vostok,41.8808,56.7658
3922,98,zapad,31.4043,56.3612
1672,99,jug,37.7972,53.4755
1438,99,sever,36.3852,60.3001
3750,99,severo-zapad,28.3965,58.3556
4094,99,vostok,41.0832,56.7063
232,99,zapad,31.7639,56.3206
1673,100,jug,37.9684,53.4629
1433,100,sever,36.227,60.1619
3752,100,severo-zapad,28.2945,58.2098
2599,100,vostok,41.5821,56.6618
3923,100,zapad,31.1981,56.2684
1244,101,jug,37.2361,53.2949
1437,101,sever,36.5644,60.1759
3878,101,severo-zapad,28.5964,58.2211
2602,101,vostok,41.8477,56.6793
4016,101,zapad,31.5577,56.2247
1247,102,jug,37.4967,53.3573
1440,102,sever,36.9977,60.2002
3879,102,severo-zapad,28.8125,58.2627
4095,102,vostok,41.2113,56.6129
222,102,zapad,31.9665,56.2085
1680,103,jug,37.9107,53.2913
1436,103,sever,36.8293,60.1278
4189,103,severo-zapad,28.7024,58.1549
4092,103,vostok,41.4092,56.5929
3924,103,zapad,31.1934,56.0999
1237,104,jug,37.0997,53.1218
898,104,sever,36.0716,60.0301
3754,104,severo-zapad,28.2081,58.0114
2606,104,vostok,41.6366,56.556
3925,104,zapad,31.4113,56.1227
1246,105,jug,37.368,53.1708
1434,105,sever,36.4261,60.0388
3753,105,severo-zapad,28.4612,58.0818
2605,105,vostok,41.8354,56.5458
221,105,zapad,31.7574,56.1596
1245,106,jug,37.5391,53.2192
1432,106,sever,36.7885,60.0338
3755,106,severo-zapad,28.5828,58.0345
4091,106,vostok,41.2228,56.465
223,106,zapad,31.8589,56.0369
1681,107,jug,37.72,53.1446
1461,107,sever,37.8312,60.991
33,107,severo-zapad,29.1074,58.8938
2607,107,vostok,41.4674,56.4667
251,107,zapad,32.2822,56.971
1226,108,jug,37.1002,53.0129
1460,108,sever,37.4814,60.9009
3884,108,severo-zapad,29.4016,58.9666
2608,108,vostok,41.6396,56.4468
254,108,zapad,32.556,56.9705
1236,109,jug,37.2765,53.0917
1462,109,sever,37.773,60.8143
3887,109,severo-zapad,29.6706,58.9363
4140,109,vostok,41.4998,56.3456
339,109,zapad,32.964,56.9552
1235,110,jug,37.4586,53.0943
1459,110,sever,37.1028,60.747
78,110,severo-zapad,29.9946,58.9274
4141,110,vostok,41.6938,56.3172
249,110,zapad,32.1016,56.8395
1234,111,jug,37.6138,53.0417
1466,111,sever,37.7739,60.6315
61,111,severo-zapad,29.3003,58.8214
4142,111,vostok,41.9214,56.298
